ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2022,3057,3057/2022,1/12/2022 17:10,1/12/2022 17:10,29/11/2022,18:50,A NOITE,29/11/2022,1/12/2022 17:10,Desconhecida,Não,3038/2022 - 40207,Avenida São Paulo,2114,Vila Ac,MONGAGUA,SP,"-240,998,715","-466,317,461",Condominio Comercial,,BO PARA INVESTIGAÇÃO,DEL.POL.MONGAGUA,DEL.POL.MONGAGUA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - INTERIOR ESTABELECIMENTO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,2304,2304/2022,1/12/2022 17:43,1/12/2022 17:43,1/12/2022,14:00,A TARDE,1/12/2022,1/12/2022 17:43,Desconhecida,Não,,Rua do Conhecimento,2601,Jardim Melvi,PRAIA GRANDE,SP,"-240,353,167","-465,307,464",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,03º D.P. PRAIA GRANDE-CAIÇARA,03º D.P. PRAIA GRANDE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - CARGA,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,6016,6016/2022,1/12/2022 18:02,1/12/2022 18:02,12/11/2022,7:20,PELA MANHÃ,12/11/2022,1/12/2022 18:02,Desconhecida,Não,5645/2022 - 40203,AVENIDA DESEMBARGADOR PLÍNIO CARVALHO PI,492,BALNEÁRIO GUARUJÁ,GUARUJA,SP,"-23,979,166,312","-46,222,193,884",Via pública,,BO PARA REGISTRO,DEL.POL.GUARUJA,DEL.POL.GUARUJA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,6016,6016/2022,1/12/2022 18:02,1/12/2022 18:02,12/11/2022,7:20,PELA MANHÃ,12/11/2022,1/12/2022 18:02,Desconhecida,Não,5645/2022 - 40203,AVENIDA DESEMBARGADOR PLÍNIO CARVALHO PI,492,BALNEÁRIO GUARUJÁ,GUARUJA,SP,"-23,979,166,312","-46,222,193,884",Via pública,,BO PARA REGISTRO,DEL.POL.GUARUJA,DEL.POL.GUARUJA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,,Consumado,,,,,,,,,,,,,,,,ECG5F74,SP,MAUA,Prata,HYUNDAI/HB20 10M VISION,2021,2021,AUTOMOVEL,1,Motorola
2022,6016,6016/2022,1/12/2022 18:02,1/12/2022 18:02,12/11/2022,7:20,PELA MANHÃ,12/11/2022,1/12/2022 18:02,Desconhecida,Não,5645/2022 - 40203,AVENIDA DESEMBARGADOR PLÍNIO CARVALHO PI,492,BALNEÁRIO GUARUJÁ,GUARUJA,SP,"-23,979,166,312","-46,222,193,884",Via pública,,BO PARA REGISTRO,DEL.POL.GUARUJA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Motorola
2022,6016,6016/2022,1/12/2022 18:02,1/12/2022 18:02,12/11/2022,7:20,PELA MANHÃ,12/11/2022,1/12/2022 18:02,Desconhecida,Não,5645/2022 - 40203,AVENIDA DESEMBARGADOR PLÍNIO CARVALHO PI,492,BALNEÁRIO GUARUJÁ,GUARUJA,SP,"-23,979,166,312","-46,222,193,884",Via pública,,BO PARA REGISTRO,DEL.POL.GUARUJA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,ECG5F74,SP,MAUA,Prata,HYUNDAI/HB20 10M VISION,2021,2021,AUTOMOVEL,1,Motorola
2022,440,440/2022,1/12/2022 18:50,1/12/2022 18:50,1/12/2022,5:35,DE MADRUGADA,1/12/2022,1/12/2022 18:50,Desconhecida,Não,,Rua Francisco de Morães,258,Jardim Sao Francisco,MONGAGUA,SP,"-241,105,054","-466,705,796",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,01º D.P. MONGAGUA,01º D.P. MONGAGUA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,2047466,2047466/2022,1/12/2022 19:04,1/12/2022 19:04,26/11/2022,10:30,PELA MANHÃ,26/11/2022,1/12/2022 19:04,Desconhecida,Não,2020012/2022 - 900020,AVENIDA PRESIDENTE CASTELO BRANCO,12816,FLORIDA,PRAIA GRANDE,SP,"-24,062,532,292","-46,550,462,755",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,03º D.P. PRAIA GRANDE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,220132,220132/2022,1/12/2022 21:55,1/12/2022 21:55,13/11/2022,21:29,A NOITE,1/12/2022,1/12/2022 21:55,Desconhecida,Não,,Avenida Antônio Rodrigues,55,Centro,S.VICENTE,SP,"-239,697,733","-463,749,438",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA 3,DEL.POL.S.VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,2050197,2050197/2022,1/12/2022 22:54,1/12/2022 22:54,1/12/2022,6:55,PELA MANHÃ,1/12/2022,1/12/2022 22:54,Desconhecida,Não,,Rua Minas Gerais,422,Jardim Praia Grande,MONGAGUA,SP,"-241,161,179","-466,616,889",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,01º D.P. MONGAGUA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Siemens
